"Name","Match","EXTRACT","New","Revision","Ticker","Obsolete Date","Obsolete Month","Obsolete Year","Inception Date...4","Inception Month","Inception Year","Obsolete Type","US Category Group","Firm Name","Inception Date...8","Net Assets Date","Net Assets - Share Class USD","Share Class Type","Index Fund","Estimated Share Class Net Flow (Yearly) Year2015 USD","Estimated Share Class Net Flow (Yearly) Year2016 USD","Estimated Share Class Net Flow (Yearly) Year2017 USD","Estimated Share Class Net Flow (Yearly) Year2018 USD","Estimated Share Class Net Flow (Yearly) Year2019 USD","Annual Report Net Expense Ratio Year2015","Annual Report Net Expense Ratio Year2016","Annual Report Net Expense Ratio Year2017","Annual Report Net Expense Ratio Year2018","Annual Report Net Expense Ratio Year2019","Inception Date","Same_Year"
"Carillon Reams Core Bond A",TRUE," A","A","A","CRCBX",NA,NA,NA,2017-11-20,11,2017,NA,"Taxable Bond","Carillon Family of Funds",2017-11-20,2020-01-21,1117475,"A","No",NA,NA,9993.856,846542.39,312717.842,NA,NA,NA,0.8,0.8,NA,NA
"American Beacon Grosvenor L/S C",TRUE," C","C","C",NA,2019-01-29,1,2019,2015-10-01,10,2015,"Liquidated","Alternative","American Beacon",2015-10-01,2019-01-29,157295,"C","No",150001.506,54645.181,-31866.372,-28099.237,NA,NA,5.1,5.53,5.31,NA,2015-10-01,0
"Federated Strategic Income R6",TRUE," R6","R6","R6","STILX",NA,NA,NA,2017-01-27,1,2017,NA,"Taxable Bond","Federated",2017-01-27,2020-01-21,4518222,"Retirement","No",NA,NA,6004373.979,-2268004.037,445139.383,NA,NA,0.61,0.61,NA,NA,NA
"Victory RS Global A{mg}",TRUE," A{mg}","A","A",NA,2016-08-01,8,2016,2016-06-16,6,2016,"Merged",NA,"Victory",2016-06-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-16,1
"Toews Tactical Defensive Alpha",TRUE," Alpha","Alpha","Alpha","TTDAX",NA,NA,NA,2016-01-07,1,2016,NA,"Alternative","Toews Funds",2016-01-07,2020-01-21,130578798,"Other","No",NA,81268091.722,20678660.266,-10578367.464,8335765.497,NA,1.25,1.25,1.25,1.25,NA,NA
"Nuveen Multi-Asset Income Tax-Aware C",TRUE," C","C","C",NA,2018-09-25,9,2018,2016-09-26,9,2016,"Liquidated","Allocation","Nuveen",2016-09-26,2018-09-25,25172,"C","No",NA,NA,-461.145,NA,NA,NA,NA,1.3,1.31,NA,2016-09-26,0
"American Funds Inflation Linked Bd F2",TRUE," F2","F2","F2","BFIGX",NA,NA,NA,2015-01-23,1,2015,NA,"Taxable Bond","American Funds",2015-01-23,2020-01-21,434812612,"Other","No",19274062.403,221262753.374,115538693.946,164498988.667,-119015035.046,0.55,0.46,0.49,0.46,NA,NA,NA
"FS Multi-Strategy Alternatives I",TRUE," I","I","Instl","FSMSX",NA,NA,NA,2017-05-16,5,2017,NA,"Alternative","FS Investments",2017-05-16,2020-01-21,193242625,"Inst","No",NA,NA,50761875.181,42712102.637,93400899.189,NA,NA,0.52,0.63,NA,NA,NA
"Ivy Government Securities R",TRUE," R","R","R","IGJRX",NA,NA,NA,2017-10-16,10,2017,NA,"Taxable Bond","Ivy Funds",2017-10-16,2019-12-31,254804,"Retirement","No",NA,NA,248921.383,-2776.226,-2918.14,NA,NA,NA,1.41,1.34,NA,NA
"Ivy Accumulative Y",TRUE," Y","Y","Y","IATYX",NA,NA,NA,2018-02-26,2,2018,NA,"U.S. Equity","Ivy Funds",2018-02-26,2019-12-31,249352,"Inst","No",NA,NA,NA,219421.81,-20393.186,NA,NA,NA,1.08,1.11,NA,NA
"BNY Mellon Sm Cp Val A",TRUE," A","A","A","RUDAX",NA,NA,NA,2016-08-01,8,2016,NA,"U.S. Equity","BNY Mellon",2016-08-01,2020-01-21,26651344,"A","No",NA,110149.244,217576.544,-4276398.624,-4925897.217,NA,1.37,1.37,1.36,1.31,NA,NA
"American Funds Corporate Bond R4",TRUE," R4","R4","R4","RCBDX",NA,NA,NA,2016-07-29,7,2016,NA,"Taxable Bond","American Funds",2016-07-29,2020-01-21,3790840,"Retirement","No",NA,24989.509,1253822.956,646280.519,1434502.901,NA,NA,0.85,0.92,0.92,NA,NA
"Ivy Apollo Strategic Income Y",TRUE," Y","Y","Y","IYPOX",NA,NA,NA,2015-10-01,10,2015,NA,"Taxable Bond","Ivy Funds",2015-10-01,2019-12-31,6774604,"Inst","No",3669975.482,2690954.528,2144516.343,-2089992.979,-482468.94,NA,1.1,1.1,1.1,1.05,NA,NA
"SEI International Fixed Income Y (SIT)",TRUE," Y (SIT)","Y","Y","SIFIX",NA,NA,NA,2015-10-30,10,2015,NA,"Taxable Bond","SEI",2015-10-30,2020-01-21,69631751,"Inst","No",NA,25357346.562,14947221.251,1717420.53,22031139.87,NA,0.8,0.77,0.77,0.77,NA,NA
