"Name","Match","EXTRACT","New","Revision","Ticker","Obsolete Date","Obsolete Month","Obsolete Year","Obsolete Type","US Category Group","Firm Name","Inception Date","Inception Month","Inception Year","Net Assets Date","Net Assets - Share Class USD","Share Class Type","Index Fund","Estimated Share Class Net Flow (Yearly) Year2015 USD","Estimated Share Class Net Flow (Yearly) Year2016 USD","Estimated Share Class Net Flow (Yearly) Year2017 USD","Estimated Share Class Net Flow (Yearly) Year2018 USD","Estimated Share Class Net Flow (Yearly) Year2019 USD","Annual Report Net Expense Ratio Year2015","Annual Report Net Expense Ratio Year2016","Annual Report Net Expense Ratio Year2017","Annual Report Net Expense Ratio Year2018","Annual Report Net Expense Ratio Year2019","Inception Date...4","Inception Date...8","Same_Year"
"Delaware Global Equity Instl{mg}",TRUE," Instl{mg}","Instl","Instl",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Global Equity R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Global Real Estate Opps A LW",TRUE," A LW","A","A","DGRPX.lw",2016-11-30,11,2016,"Liquidated","Sector Equity","Delaware Funds by Macquarie",2007-01-10,1,2007,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.41,NA,NA,NA,NA,NA,NA,NA
"Delaware Global Value A Load Waived",TRUE," A Load Waived","A","A","DABAX.lw",2016-11-30,11,2016,"Liquidated","International Equity","Delaware Funds by Macquarie",1997-12-19,12,1997,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.64,NA,NA,NA,NA,NA,NA,NA
"Delaware Government Cash Mgmt A{mg}",TRUE," A{mg}","A","A",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Government Cash Mgmt R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Growth and Income A{mg}",TRUE," A{mg}","A","A",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Growth and Income Instl{mg}",TRUE," Instl{mg}","Instl","Instl",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Growth and Income R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
"Delaware Growth Equity A{mg}",TRUE," A{mg}","A","A",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
