"Name","Match","EXTRACT","New","Revision","Ticker","Obsolete Date","Obsolete Month","Obsolete Year","Obsolete Type","US Category Group","Firm Name","Inception Date","Inception Month","Inception Year","Net Assets Date","Net Assets - Share Class USD","Share Class Type","Index Fund","Estimated Share Class Net Flow (Yearly) Year2015 USD","Estimated Share Class Net Flow (Yearly) Year2016 USD","Estimated Share Class Net Flow (Yearly) Year2017 USD","Estimated Share Class Net Flow (Yearly) Year2018 USD","Estimated Share Class Net Flow (Yearly) Year2019 USD","Annual Report Net Expense Ratio Year2015","Annual Report Net Expense Ratio Year2016","Annual Report Net Expense Ratio Year2017","Annual Report Net Expense Ratio Year2018","Annual Report Net Expense Ratio Year2019","Inception Date...4","Inception Date...8","Same_Year"
"Ivy Micro Cap Growth Y",TRUE," Y","Y","Y",NA,2018-11-05,11,2018,"Merged","U.S. Equity","(Junk) Ivy Funds",2009-02-17,2,2009,2018-10-31,1105967,"Inst","No",-1321295.503,-255355.038,45819.955,NA,NA,1.49,1.5,1.51,1.49,NA,NA,NA,NA
"Ivy Mid Cap Growth A Load Waived",TRUE," A Load Waived","A","A","WMGAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","Ivy Funds",2000-06-30,6,2000,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.28,1.29,NA,NA,NA,NA,NA,NA
"Ivy Mid Cap Income Opportunities A LW",TRUE," A LW","A","A","IVOAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","Ivy Funds",2014-10-01,10,2014,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.35,1.35,NA,NA,NA,NA,NA,NA
"Ivy Municipal Bond A Load Waived",TRUE," A Load Waived","A","A","WMBAX.lw",2016-11-30,11,2016,"Liquidated","Municipal Bond","Ivy Funds",2000-09-15,9,2000,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.01,0.99,NA,NA,NA,NA,NA,NA
"Ivy Municipal High Income A Load Waived",TRUE," A Load Waived","A","A","IYIAX.lw",2016-11-30,11,2016,"Liquidated","Municipal Bond","Ivy Funds",2009-05-18,5,2009,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.85,0.86,NA,NA,NA,NA,NA,NA
"Ivy Natural Resources A Load Waived",TRUE," A Load Waived","A","A","IGNAX.lw",2016-11-30,11,2016,"Liquidated","Sector Equity","Ivy Funds",1997-01-02,1,1997,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.57,1.66,NA,NA,NA,NA,NA,NA
"Ivy Pictet Emerging Mkts Lcl Ccy Db A LW",TRUE," A LW","A","A","IECAX.lw",2016-11-30,11,2016,"Liquidated","Taxable Bond","Ivy Funds",2014-04-30,4,2014,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA
"Ivy Pictet Targeted Return Bond A LW",TRUE," A LW","A","A","IRBAX.lw",2016-11-30,11,2016,"Liquidated","Taxable Bond","Ivy Funds",2016-01-04,1,2016,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-04,2016-01-04,1
"Ivy Science And Technology A LW",TRUE," A LW","A","A","WSTAX.lw",2016-11-30,11,2016,"Liquidated","Sector Equity","Ivy Funds",2000-07-03,7,2000,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.26,1.28,NA,NA,NA,NA,NA,NA
"Ivy Small Cap Core A Load Waived",TRUE," A Load Waived","A","A","IYSAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","Ivy Funds",1997-01-31,1,1997,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.54,1.56,NA,NA,NA,NA,NA,NA
"Ivy Small Cap Growth A Load Waived",TRUE," A Load Waived","A","A","WSGAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","Ivy Funds",2000-07-03,7,2000,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.43,1.44,NA,NA,NA,NA,NA,NA
"Ivy Tax-Managed Equity A",TRUE," A","A","A",NA,2018-11-05,11,2018,"Merged","U.S. Equity","(Junk) Ivy Funds",2009-05-18,5,2009,2018-10-31,302257475,"A","No",40081390.253,-69523034.323,-9858373.381,NA,NA,1.29,1.22,1.2,1.07,NA,NA,NA,NA
"Ivy Tax-Managed Equity A Load Waived",TRUE," A Load Waived","A","A","IYEAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","(Junk) Ivy Funds",2009-05-18,5,2009,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.29,1.22,NA,NA,NA,NA,NA,NA
"Ivy Tax-Managed Equity B",TRUE," B","B","B",NA,2018-11-05,11,2018,"Merged","U.S. Equity","(Junk) Ivy Funds",2009-05-18,5,2009,2018-10-31,1683214,"B","No",-219510.786,-17074.375,-199339.476,NA,NA,1.95,1.92,1.91,1.89,NA,NA,NA,NA
"Ivy Tax-Managed Equity C",TRUE," C","C","C",NA,2018-11-05,11,2018,"Merged","U.S. Equity","(Junk) Ivy Funds",2009-05-18,5,2009,2018-10-31,10165215,"C","No",2351666.489,110856.295,-145826.931,NA,NA,2.01,2.01,1.96,1.93,NA,NA,NA,NA
"Ivy Tax-Managed Equity I",TRUE," I","I","Instl",NA,2018-11-05,11,2018,"Merged","U.S. Equity","(Junk) Ivy Funds",2000-04-19,4,2000,2018-10-31,281912352,"Inst","No",1976801.965,61882293.583,-6952267.278,NA,NA,1.04,0.99,0.96,0.92,NA,NA,NA,NA
"Ivy Tax-Managed Equity N",TRUE," N","N","N",NA,2018-11-05,11,2018,"Merged","U.S. Equity","(Junk) Ivy Funds",2017-07-05,7,2017,2018-10-31,505134,"N","No",NA,NA,330278.822,NA,NA,NA,NA,NA,0.78,NA,2017-07-05,2017-07-05,0
"Ivy Tax-Managed Equity Y",TRUE," Y","Y","Y",NA,2018-11-05,11,2018,"Merged","U.S. Equity","(Junk) Ivy Funds",2009-05-18,5,2009,2018-10-31,715955,"Inst","No",-208771.271,-201296.216,-63383.278,NA,NA,1.29,1.22,1.2,1.14,NA,NA,NA,NA
"Ivy Value A Load Waived",TRUE," A Load Waived","A","A","IYVAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","Ivy Funds",1994-09-16,9,1994,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.27,1.3,NA,NA,NA,NA,NA,NA
"Jacob Wisdom Investor",TRUE," Investor","Investor","Investor",NA,2016-08-26,8,2016,"Merged","U.S. Equity","Jacob",2010-02-17,2,2010,2016-08-26,4741104,"Inv","No",-2489913.383,NA,NA,NA,NA,1.95,NA,NA,NA,NA,NA,NA,NA
"Jacobs Broel Value",TRUE," Value","Value","Value",NA,2016-01-15,1,2016,"Liquidated","Allocation","Jacobs Broel",2012-06-26,6,2012,2016-01-15,759431,"Other","No",-644589.566,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA
"JAG Large Cap Growth A Load Waived",TRUE," A Load Waived","A","A","JLGAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","JAG Capital Management",2011-12-22,12,2011,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA
"JAG Large Cap Growth C",TRUE," C","C","C",NA,2017-12-18,12,2017,"Merged","U.S. Equity","JAG Capital Management",2011-12-22,12,2011,2017-12-18,28799,"C","No",-14553.77,-5595.665,0.444,NA,NA,2.25,2.25,2.25,NA,NA,NA,NA,NA
"James Alpha Global Real Estate Invs A LW",TRUE," A LW","A","A","JAREX.lw",2016-11-30,11,2016,"Liquidated","Sector Equity","James Alpha Advisors",2009-10-26,10,2009,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.98,1.99,NA,NA,NA,NA,NA,NA
"James Alpha Hedged High Income A LW",TRUE," A LW","A","A","INCAX.lw",2016-11-30,11,2016,"Liquidated","Alternative","James Alpha Advisors",2013-12-31,12,2013,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,2.3,2.39,NA,NA,NA,NA,NA,NA
"James Alpha Hedged High Income A{mg}",TRUE," A{mg}","A","A",NA,2016-07-15,7,2016,"Merged",NA,"Saratoga",2016-05-25,5,2016,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-25,2016-05-25,1
"James Alpha Hedged High Income C{mg}",TRUE," C{mg}","C","C",NA,2016-07-15,7,2016,"Merged",NA,"Saratoga",2016-05-25,5,2016,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-25,2016-05-25,1
"James Alpha Hedged High Income I{mg}",TRUE," I{mg}","I","Instl",NA,2016-07-15,7,2016,"Merged",NA,"Saratoga",2016-05-25,5,2016,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-25,2016-05-25,1
"James Alpha Macro A Load Waived",TRUE," A Load Waived","A","A","GRRAX.lw",2016-11-30,11,2016,"Liquidated","Alternative","James Alpha Advisors",2011-02-01,2,2011,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA
"James Alpha MLP A",TRUE," A","A","A",NA,2019-09-30,9,2019,"Liquidated","Sector Equity","James Alpha Advisors",2015-03-31,3,2015,2019-09-30,243953,"A","No",2878935.888,160391.44,-2762679.805,-189410.538,NA,2.75,2.78,2.33,2.25,NA,2015-03-31,2015-03-31,0
"James Alpha MLP C",TRUE," C","C","C",NA,2019-09-30,9,2019,"Liquidated","Sector Equity","James Alpha Advisors",2015-03-31,3,2015,2019-09-30,662532,"C","No",963387.241,67606.51,-52185.011,-264187.147,NA,3.5,3.47,3.12,3,NA,2015-03-31,2015-03-31,0
"James Alpha MLP I",TRUE," I","I","Instl",NA,2019-09-30,9,2019,"Liquidated","Sector Equity","James Alpha Advisors",2015-03-31,3,2015,2019-09-30,5768262,"Inst","No",5533066.549,382256.095,529987.981,2149392.203,NA,2.5,2.53,2.13,2,NA,2015-03-31,2015-03-31,0
"James Alpha Mlt Strat Alt Inc A LW",TRUE," A LW","A","A","JAAMX.lw",2016-11-30,11,2016,"Liquidated","Alternative","James Alpha Advisors",2014-09-29,9,2014,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,2.75,2.75,NA,NA,NA,NA,NA,NA
"James Alpha Yorkville MLP A Load Waived",TRUE," A Load Waived","A","A","JAMLX.lw",2016-11-30,11,2016,"Liquidated","Sector Equity","James Alpha Advisors",2015-03-31,3,2015,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,2.75,NA,NA,NA,NA,2015-03-31,2015-03-31,0
"James Alpha Yorkville MLP Portfolio S",TRUE," S","S","S",NA,2019-09-30,9,2019,"Liquidated","Sector Equity","James Alpha Advisors",2017-05-29,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-29,2017-05-29,0
"James Long-Short",TRUE," Long-Short","LongShort","LongShort",NA,2019-06-17,6,2019,"Liquidated","Alternative","James Advantage",2011-05-23,5,2011,2019-06-14,14100506,"Other","No",-1684443.981,-5326607.644,-3422338.255,-946391.458,NA,2.7,2.5,1.56,1.59,NA,NA,NA,NA
"James Mid Cap",TRUE," Cap","Cap","Cap",NA,2019-06-17,6,2019,"Liquidated","U.S. Equity","James Advantage",2006-06-30,6,2006,2019-06-14,9829671,"Other","No",459014.301,-4569411.216,148982.882,121224.858,NA,1.5,1.5,1.5,1.5,NA,NA,NA,NA
"Jamestown Balanced",TRUE," Balanced","Balanced","Balanced","JAMBX",2015-07-28,7,2015,"Merged","Allocation","Williamsburg Investment Trust",1989-07-03,7,1989,2015-07-28,15682543,"No Load","No",NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA
"Jamestown Tax-Exempt VA",TRUE," VA","VA","A",NA,2019-01-11,1,2019,"Liquidated","Municipal Bond","Williamsburg Investment Trust",1993-09-01,9,1993,2019-01-11,396793,"No Load","No",-1790895.726,-92902.851,-686766.95,-24125718.368,NA,0.69,0.69,0.69,0.69,NA,NA,NA,NA
"Janus A",TRUE," A","A","A",NA,2017-05-01,5,2017,"Merged","U.S. Equity","Janus Henderson",2009-07-06,7,2009,2017-04-28,14861456,"A","No",4212385.355,-5236205.815,NA,NA,NA,0.98,0.95,NA,NA,NA,NA,NA,NA
"Janus A Load Waived",TRUE," A Load Waived","A","A",NA,2016-11-30,11,2016,"Liquidated","U.S. Equity","Janus Henderson",2009-07-06,7,2009,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA
"Janus Aspen Preservation - Growth Instl",TRUE," Instl","Instl","Instl","JAPGX",2015-09-30,9,2015,"Liquidated","U.S. Equity","Janus Henderson",2012-01-03,1,2012,2015-08-31,1461992,"Inst","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Janus Aspen Preservation - Growth Svc",TRUE," Svc","Svc","Svc",NA,2015-09-30,9,2015,"Liquidated","U.S. Equity","Janus Henderson",2012-01-03,1,2012,2015-08-31,1429026,"S","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Janus C",TRUE," C","C","C",NA,2017-05-01,5,2017,"Merged","U.S. Equity","Janus Henderson",2009-07-06,7,2009,2017-04-28,6478257,"C","No",1361792.829,-1234342.95,NA,NA,NA,1.61,1.59,NA,NA,NA,NA,NA,NA
"Janus D",TRUE," D","D","D",NA,2017-05-01,5,2017,"Merged","U.S. Equity","Janus Henderson",1970-02-05,2,1970,2017-04-28,6099025711,"D","No",-315454550.619,-384843800.748,NA,NA,NA,0.77,0.73,NA,NA,NA,NA,NA,NA
"Janus Emerging Markets A",TRUE," A","A","A",NA,2017-06-09,6,2017,"Merged","International Equity","Janus Henderson",2010-12-28,12,2010,2017-05-31,211951,"A","No",3104.476,-129770.549,NA,NA,NA,1.61,1.74,NA,NA,NA,NA,NA,NA
"Janus Emerging Markets A Load Waived",TRUE," A Load Waived","A","A",NA,2016-11-30,11,2016,"Liquidated","International Equity","Janus Henderson",2010-12-28,12,2010,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.61,NA,NA,NA,NA,NA,NA,NA
"Janus Emerging Markets C",TRUE," C","C","C",NA,2017-06-09,6,2017,"Merged","International Equity","Janus Henderson",2010-12-28,12,2010,2017-05-31,637999,"C","No",235552.649,-8920.801,NA,NA,NA,2.39,2.47,NA,NA,NA,NA,NA,NA
"Janus Emerging Markets D",TRUE," D","D","D",NA,2017-06-09,6,2017,"Merged","International Equity","Janus Henderson",2010-12-28,12,2010,2017-05-31,17007261,"D","No",-709256.495,1769359.927,NA,NA,NA,1.3,1.47,NA,NA,NA,NA,NA,NA
"Janus Emerging Markets I",TRUE," I","I","Instl",NA,2017-06-09,6,2017,"Merged","International Equity","Janus Henderson",2010-12-28,12,2010,2017-05-31,66191817,"Inst","No",19809451.041,-2920607.257,NA,NA,NA,1.17,1.37,NA,NA,NA,NA,NA,NA
"Janus Emerging Markets S",TRUE," S","S","S",NA,2017-06-09,6,2017,"Merged","International Equity","Janus Henderson",2010-12-28,12,2010,2017-05-31,243089,"S","No",934212.994,-926761.67,NA,NA,NA,1.43,1.74,NA,NA,NA,NA,NA,NA
"Janus Emerging Markets T",TRUE," T","T","T",NA,2017-06-09,6,2017,"Merged","International Equity","Janus Henderson",2010-12-28,12,2010,2017-05-31,5177326,"Other","No",4642447.728,2823830.913,NA,NA,NA,1.44,1.56,NA,NA,NA,NA,NA,NA
"Janus Henderson Adaptive Global All A LW",TRUE," A LW","A","A","JAGAX.lw",2016-11-30,11,2016,"Liquidated","Allocation","Janus Henderson",2015-06-23,6,2015,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.07,1.09,NA,NA,NA,2015-06-23,2015-06-23,0
"Janus Henderson All Asset A",TRUE," A","A","A",NA,2019-06-25,6,2019,"Liquidated","Allocation","Janus Henderson",2012-03-30,3,2012,2019-05-31,921672,"A","No",-2777140.154,-851073.801,-2193801.272,-432354.753,NA,0.85,0.85,0.85,0.87,NA,NA,NA,NA
"Janus Henderson All Asset A Load Waived",TRUE," A Load Waived","A","A","HGAAX.lw",2016-11-30,11,2016,"Liquidated","Allocation","Janus Henderson",2012-03-30,3,2012,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.85,0.85,NA,NA,NA,NA,NA,NA
"Janus Henderson All Asset A{mg}",TRUE," A{mg}","A","A",NA,2017-06-05,6,2017,"Merged",NA,"Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson All Asset C",TRUE," C","C","C",NA,2019-06-25,6,2019,"Liquidated","Allocation","Janus Henderson",2012-03-30,3,2012,2019-05-31,1641814,"C","No",-2805354.97,567542.482,-3436144.121,-4509223.365,NA,1.6,1.6,1.6,1.58,NA,NA,NA,NA
"Janus Henderson All Asset C{mg}",TRUE," C{mg}","C","C",NA,2017-06-05,6,2017,"Merged",NA,"Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson All Asset D",TRUE," D","D","D",NA,2019-06-25,6,2019,"Liquidated","Allocation","Janus Henderson",2017-06-05,6,2017,2019-05-31,506184,"D","No",NA,NA,703133.083,-125381.596,NA,NA,NA,0.69,1.58,NA,2017-06-05,2017-06-05,0
"Janus Henderson All Asset I",TRUE," I","I","Instl",NA,2019-06-25,6,2019,"Liquidated","Allocation","Janus Henderson",2012-03-30,3,2012,2019-05-31,1473868,"Inst","No",-31757228.844,-5159204.358,-775966.643,-5311276.841,NA,0.6,0.6,0.59,0.6,NA,NA,NA,NA
"Janus Henderson All Asset I{mg}",TRUE," I{mg}","I","Instl",NA,2017-06-05,6,2017,"Merged",NA,"Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson All Asset N",TRUE," N","N","N",NA,2019-06-25,6,2019,"Liquidated","Allocation","Janus Henderson",2015-11-30,11,2015,2019-05-31,49407,"N","No",28349459.493,-25068.797,229668.596,117067.935,NA,NA,0.6,0.6,0.66,NA,2015-11-30,2015-11-30,0
"Janus Henderson All Asset N{mg}",TRUE," N{mg}","N","N",NA,2017-06-05,6,2017,"Merged",NA,"Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson All Asset S",TRUE," S","S","S",NA,2019-06-25,6,2019,"Liquidated","Allocation","Janus Henderson",2017-06-05,6,2017,2019-05-31,50668,"S","No",NA,NA,50006.265,148.344,NA,NA,NA,1.09,0.6,NA,2017-06-05,2017-06-05,0
"Janus Henderson All Asset T",TRUE," T","T","T",NA,2019-06-25,6,2019,"Liquidated","Allocation","Janus Henderson",2017-06-05,6,2017,2019-05-31,135178,"Other","No",NA,NA,49966.412,85247.206,NA,NA,NA,0.82,0.69,NA,2017-06-05,2017-06-05,0
"Janus Henderson Asia Equity A LW",TRUE," A LW","A","A","JAQAX.lw",2016-11-30,11,2016,"Liquidated","International Equity","Janus Henderson",2011-07-29,7,2011,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.61,NA,NA,NA,NA,NA,NA,NA
"Janus Henderson Balanced A Load Waived",TRUE," A Load Waived","A","A","JDBAX.lw",2016-11-30,11,2016,"Liquidated","Allocation","Janus Henderson",2009-07-06,7,2009,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA
"Janus Henderson Contrarian A LW",TRUE," A LW","A","A","JCNAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","Janus Henderson",2009-07-06,7,2009,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.13,NA,NA,NA,NA,NA,NA,NA
"Janus Henderson Div & Inc Builder A{mg}",TRUE," A{mg}","A","A",NA,2017-06-05,6,2017,"Merged",NA,"Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson Div & Inc Builder C{mg}",TRUE," C{mg}","C","C",NA,2017-06-05,6,2017,"Merged",NA,"Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson Div & Inc Builder I{mg}",TRUE," I{mg}","I","Instl",NA,2017-06-05,6,2017,"Merged",NA,"Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson Div & Inc Builder N{mg}",TRUE," N{mg}","N","N",NA,2017-06-05,6,2017,"Merged",NA,"Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson Diversified Alts A LW",TRUE," A LW","A","A","JDDAX.lw",2016-11-30,11,2016,"Liquidated","Alternative","Janus Henderson",2012-12-28,12,2012,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.52,1.53,NA,NA,NA,NA,NA,NA
"Janus Henderson Dividend & Inc Buil A LW",TRUE," A LW","A","A","HDAVX.lw",2016-11-30,11,2016,"Liquidated","Allocation","Janus Henderson",2012-08-01,8,2012,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.3,1.27,NA,NA,NA,NA,NA,NA
"Janus Henderson Emerg Mkts Mgd Vola A LW",TRUE," A LW","A","A","JOLAX.lw",2016-11-30,11,2016,"Liquidated","International Equity","Janus Henderson",2014-12-17,12,2014,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.31,1.3,NA,NA,NA,NA,NA,NA
"Janus Henderson Emerging Markets A LW",TRUE," A LW","A","A","HEMAX.lw",2016-11-30,11,2016,"Liquidated","International Equity","Janus Henderson",2010-12-31,12,2010,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.79,1.79,NA,NA,NA,NA,NA,NA
"Janus Henderson Emerging Markets A{mg}",TRUE," A{mg}","A","A",NA,2017-06-02,6,2017,"Merged","International Equity","Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson Emerging Markets C{mg}",TRUE," C{mg}","C","C",NA,2017-06-02,6,2017,"Merged","International Equity","Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson Emerging Markets I{mg}",TRUE," I{mg}","I","Instl",NA,2017-06-02,6,2017,"Merged","International Equity","Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson Emerging Markets N{mg}",TRUE," N{mg}","N","N",NA,2017-06-02,6,2017,"Merged","International Equity","Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson Enterprise A LW",TRUE," A LW","A","A","JDMAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","Janus Henderson",2009-07-06,7,2009,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.13,NA,NA,NA,NA,NA,NA,NA
"Janus Henderson European Focus A LW",TRUE," A LW","A","A","HFEAX.lw",2016-11-30,11,2016,"Liquidated","International Equity","Janus Henderson",2001-08-31,8,2001,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.3,1.28,NA,NA,NA,NA,NA,NA
"Janus Henderson European Focus A{mg}",TRUE," A{mg}","A","A",NA,2017-06-05,6,2017,"Merged",NA,"Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson European Focus C{mg}",TRUE," C{mg}","C","C",NA,2017-06-05,6,2017,"Merged",NA,"Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson European Focus I{mg}",TRUE," I{mg}","I","Instl",NA,2017-06-05,6,2017,"Merged",NA,"Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson European Focus N{mg}",TRUE," N{mg}","N","N",NA,2017-06-05,6,2017,"Merged",NA,"Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson Flexible Bond A LW",TRUE," A LW","A","A","JDFAX.lw",2016-11-30,11,2016,"Liquidated","Taxable Bond","Janus Henderson",2009-07-06,7,2009,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.79,0.81,NA,NA,NA,NA,NA,NA
"Janus Henderson Forty A Load Waived",TRUE," A Load Waived","A","A","JDCAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","Janus Henderson",2004-09-30,9,2004,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.05,NA,NA,NA,NA,NA,NA,NA
"Janus Henderson Global Bond A LW",TRUE," A LW","A","A","JGBAX.lw",2016-11-30,11,2016,"Liquidated","Taxable Bond","Janus Henderson",2010-12-28,12,2010,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1,1.02,NA,NA,NA,NA,NA,NA
"Janus Henderson Global Equity Inc A{mg}",TRUE," A{mg}","A","A",NA,2017-06-05,6,2017,"Merged",NA,"Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson Global Equity Inc C{mg}",TRUE," C{mg}","C","C",NA,2017-06-05,6,2017,"Merged",NA,"Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson Global Equity Inc I{mg}",TRUE," I{mg}","I","Instl",NA,2017-06-05,6,2017,"Merged",NA,"Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson Global Equity Inc N{mg}",TRUE," N{mg}","N","N",NA,2017-06-05,6,2017,"Merged",NA,"Janus Henderson",2017-05-02,5,2017,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,2017-05-02,1
"Janus Henderson Global Equity Incom A LW",TRUE," A LW","A","A","HFQAX.lw",2016-11-30,11,2016,"Liquidated","International Equity","Janus Henderson",2006-11-30,11,2006,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.09,1.09,NA,NA,NA,NA,NA,NA
"Janus Henderson Global Inc Mgd Vola A LW",TRUE," A LW","A","A","JGDAX.lw",2016-11-30,11,2016,"Liquidated","International Equity","Janus Henderson",2011-12-15,12,2011,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.84,0.83,NA,NA,NA,NA,NA,NA
